id,error_type
2,MULTI
4,MULTI
6,MULTI
8,MULTI
9,MULTI
17,MULTI
26,MULTI
32,MULTI
34,MULTI
82,MULTI
102,MULTI
106,MULTI
111,MULTI
112,MULTI
113,MULTI
128,MULTI
129,MULTI
154,MULTI
160,MULTI
161,MULTI
162,MULTI
163,MULTI
164,MULTI
165,MULTI
169,MULTI
170,MULTI
171,MULTI
192,MULTI
196,MULTI
199,MULTI
201,MULTI
202,MULTI
217,MULTI
219,MULTI
220,MULTI
223,MULTI
226,MULTI
231,MULTI
236,MULTI
237,MULTI
239,MULTI
256,MULTI
272,MULTI
310,MULTI
313,MULTI
315,MULTI
316,MULTI
319,MULTI
325,MULTI
331,MULTI
334,MULTI
335,MULTI
339,MULTI
341,MULTI
345,MULTI
353,MULTI
354,MULTI
357,MULTI
358,MULTI
369,MULTI
370,MULTI
371,MULTI
377,MULTI
378,MULTI
383,MULTI
388,MULTI
389,MULTI
390,MULTI
391,MULTI
393,MULTI
408,MULTI
413,MULTI
414,MULTI
441,MULTI
444,MULTI
445,MULTI
446,MULTI
449,MULTI
461,MULTI
463,MULTI
464,MULTI
471,MULTI
479,MULTI
486,MULTI
488,MULTI
494,MULTI
495,MULTI
498,MULTI
499,MULTI
500,MULTI
501,MULTI
633,MULTI
639,MULTI
642,MULTI
649,MULTI
650,MULTI
651,MULTI
729,MULTI
731,MULTI
749,MULTI
751,MULTI
755,MULTI
756,MULTI
760,MULTI
763,MULTI
772,MULTI
776,MULTI
777,MULTI
810,MULTI
824,MULTI
887,MULTI
891,MULTI
893,MULTI
908,MULTI
991,MULTI
992,MULTI
996,MULTI
998,MULTI
1008,MULTI
1009,MULTI
1010,MULTI
1012,MULTI
1019,MULTI
1040,MULTI
1043,MULTI
1050,MULTI
1063,MULTI
1065,MULTI
1091,MULTI
1135,MULTI
1150,MULTI
1157,MULTI
1176,MULTI
1181,MULTI
1200,MULTI
1218,MULTI
1221,MULTI
1310,MULTI
1312,MULTI
1315,MULTI
1324,MULTI
1326,MULTI
1331,MULTI
1343,MULTI
1367,MULTI
1368,MULTI
1401,MULTI
1403,MULTI
1404,MULTI
1412,MULTI
1421,MULTI
2234,MULTI
2236,MULTI
2237,MULTI
2239,MULTI
2240,MULTI
2241,MULTI
2272,MULTI
2273,MULTI
3280,MULTI
3489,MULTI
4460,MULTI
4466,MULTI
4470,MULTI
4472,MULTI
4604,MULTI
4656,MULTI
4670,MULTI
4717,MULTI
4820,MULTI
4828,MULTI
4841,MULTI
4843,MULTI
4850,MULTI
4877,MULTI
4934,MULTI
4964,MULTI
4966,MULTI
4968,MULTI
